TI-Beam01,,,,,,,
,,Name,Type,Description (Value),Unit,IFC 4.3,Documentation
Beam-BTB75-2A,,,Object,BTB75-2A,,IfcBeam.PredefinedType.BEAM,
,Pset_BeamCommon,,Group,.,,Pset_BeamCommon,Properties common to the definition of all occurrence and type objects of beam.
,,FireRating,Property,.,Label,Pset_BeamCommon.FireRating,Fire rating for this object. It is given according to the national fire safety code or regulation.
,,IsExternal,Property,TRUE,Boolean,Pset_BeamCommon.IsExternal,Indication whether the element is designed for use in the exterior (TRUE) or not (FALSE). If (TRUE) it is an external element and faces the outside of the building.
,,LoadBearing,Property,TRUE,Boolean,Pset_BeamCommon.LoadBearing,Indicates whether the object is intended to carry loads (TRUE) or not (FALSE).
,,Roll,Property,.,Plane Angle,Pset_BeamCommon.Roll,Rotation against the longitudinal axis - relative to the global  X direction for all columns that are vertical in regard to the global coordinate system (Profile direction equals global X is Roll = 0.). For all non-vertical columns the following applies:
,,Slope,Property,0,Plane Angle,Pset_BeamCommon.Slope,"Sloping angle of the object  - relative to horizontal (0.0 degrees). 
Actual maximum slope for the passageway according to the current design.
The shape information is provided in addition to the shape representation and the geometric parameters used with"
,,Span,Property,75.0 ft,"Length (positive, >0)",Pset_BeamCommon.Span,"Clear span for this object.

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached"
,,Status,Property,NEW,Label,Pset_BeamCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,Pset_ConcreteElementGeneral,,Group,.,,Pset_ConcreteElementGeneral,"General properties common to different types of concrete elements, including reinforced concrete elements. The property set can be used by a number of subtypes of IfcBuildingElement, indicated that such element is designed or constructed using a concrete"
,,ConcreteCover,Property,1.5 in,"Length (positive, >0)",Pset_ConcreteElementGeneral.ConcreteCover,The protective concrete cover at the reinforcing bars according to local building regulations.
,,ConcreteCoverAtLinks,Property,1.5 in,"Length (positive, >0)",Pset_ConcreteElementGeneral.ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.
,,ConcreteCoverAtMainBars,Property,1.5 in,"Length (positive, >0)",Pset_ConcreteElementGeneral.ConcreteCoverAtMainBars,The protective concrete cover at the main reinforcing bars according to local building regulations.
,,ConstructionMethod,Property,PRECAST,Label,Pset_ConcreteElementGeneral.ConstructionMethod,Designator for whether the concrete element is constructed on site or prefabricated. Allowed values are: 'In-Situ' vs 'Precast'.
,,ConstructionToleranceClass,Property,.,Label,Pset_ConcreteElementGeneral.ConstructionToleranceClass,Classification designation of the on-site construction tolerances according to local standards.
,,DimensionalAccuracyClass,Property,.,Label,Pset_ConcreteElementGeneral.DimensionalAccuracyClass,Classification designation of the dimensional accuracy requirement according to local standards.
,,ExposureClass,Property,Class 2,Label,Pset_ConcreteElementGeneral.ExposureClass,"Classification of exposure to environmental conditions, usually specified in accordance with the concrete design code which is applied in the project."
,,ReinforcementAreaRatio,Property,_derived_,Area Density,Pset_ConcreteElementGeneral.ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.
,,ReinforcementStrengthClass,Property,AASHTO LRFD 2007 Grade 60,Label,Pset_ConcreteElementGeneral.ReinforcementStrengthClass,Classification of the reinforcement strength in accordance with the concrete design code which is applied in the project. The reinforcing strength class often combines strength and ductility.
,,ReinforcementVolumeRatio,Property,_derived_,Mass Density,Pset_ConcreteElementGeneral.ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.
,,StrengthClass,Property,High Performance Concrete (HPC),Label,Pset_ConcreteElementGeneral.StrengthClass,Classification of the concrete strength in accordance with the concrete design code which is applied in the project.
,,StructuralClass,Property,AASHTO LRFD 2007,Label,Pset_ConcreteElementGeneral.StructuralClass,The structural class defined for the concrete structure (e.g. '1').
,Pset_PrecastConcreteElementGeneral,,Group,-.,,Pset_PrecastConcreteElementGeneral,Production and manufacturing related properties common to different types of precast concrete elements. The Pset can be used by a number of subtypes of IfcBuildingElement. If the precast concrete element is a sandwich wall panel each structural layer or s
,,BatterAtEnd,Property,.,Plane Angle,Pset_PrecastConcreteElementGeneral.BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric pr"
,,BatterAtStart,Property,.,Plane Angle,Pset_PrecastConcreteElementGeneral.BatterAtStart,"The angle, in radians, by which the formwork at the starting face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric"
,,CamberAtMidspan,Property,2.92 in,Ratio,Pset_PrecastConcreteElementGeneral.CamberAtMidspan,"The camber deflection, measured from the midpoint of a cambered face of a piece to the midpoint of the chord joining the ends of the same face, as shown in the figure below, divided by the original (nominal) straight length of the face of the piece."
,,CornerChamfer,Property,2 in,"Length (positive, >0)",Pset_PrecastConcreteElementGeneral.CornerChamfer,The chamfer in the corners of the precast element. The chamfer is presumed to be equal in both directions.
,,DesignLocationNumber,Property,"Span 2, Beam Line A",Label,Pset_PrecastConcreteElementGeneral.DesignLocationNumber,"Defines a unique location within a structure, the ‘slot’ for which the piece was designed."
,,FormStrippingStrength,Property,5.5 ksi,Pressure,Pset_PrecastConcreteElementGeneral.FormStrippingStrength,The minimum required compressive strength of the concrete at form stripping time.
,,HollowCorePlugging,Property,_nil_,Label,Pset_PrecastConcreteElementGeneral.HollowCorePlugging,"A descriptive label for how the hollow core ends are treated: they may be left open, closed with a plug, or sealed with cast concrete. Values would be, for example: 'Unplugged', 'Plugged', 'SealedWithConcrete'. This property applies to  hollow core slabs"
,,InitialTension,Property,1106 kips,Pressure,Pset_PrecastConcreteElementGeneral.InitialTension,The initial stress of the tendon. This property applies to prestressed concrete elements only.
,,LiftingStrength,Property,6.5 ksi,Pressure,Pset_PrecastConcreteElementGeneral.LiftingStrength,The minimum required compressive strength of the concrete when the concrete element is lifted.
,,ManufacturingToleranceClass,Property,_nil_,Label,Pset_PrecastConcreteElementGeneral.ManufacturingToleranceClass,Classification designation of the manufacturing tolerances according to local standards.
